round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.0,NoPhase,NoPhase,,,ID:miniscope_trigger|,0
1,new_round,0.0,NoPhase,NoPhase,,,ID:round_LED|,1
1,output_activated,0.01,lever_out,lever_out,,,ID:round_LED|,1
1,tone_start_round_start,0.01,lever_out,lever_out,,,ID:speaker|,1
1,output_deactivated,0.51,lever_out,lever_out,,,ID:round_LED|,1
1,tone_stop_round_start,1.02,lever_out,lever_out,,,ID:speaker|,1
1,lever_extended_food,1.07,lever_out,lever_out,,,ID:food|,1
1,,40.85,lever_out,lever_out,39.84,,n_presses:1|,1
1,presses_reached_food,40.85,lever_out,lever_out,39.84,,n_presses:1|,1
1,lever_press_food,40.85,lever_out,lever_out,,,ID:event_LED|,1
1,output_activated,40.86,lever_out,lever_out,,,ID:event_LED|,1
1,tone_start_pellet_tone,40.9,lever_out,lever_out,,,ID:speaker|,1
1,output_deactivated,41.21,lever_out,lever_out,,,ID:event_LED|,1
1,tone_stop_pellet_tone,41.91,lever_out,lever_out,,,ID:speaker|,1
1,lever_retracted_food,43.31,lever_out,lever_out,,,ID:food|,1
1,pellet_dispense_dispenser,44.73,ITI,ITI,,,ID:dispenser|,1
1,pellet_retrieved,62.42,ITI,ITI,17.7,,,1
1,pellet_retrieved,62.43,ITI,ITI,,,ID:event_LED|,1
1,output_activated,62.43,ITI,ITI,,,ID:event_LED|,1
1,output_deactivated,63.13,ITI,ITI,,,ID:event_LED|,1
2,new_round,88.89,lever_out,lever_out,,,ID:round_LED|,2
2,output_activated,88.89,lever_out,lever_out,,,ID:round_LED|,2
2,tone_start_round_start,88.93,lever_out,lever_out,,,ID:speaker|,2
2,output_deactivated,89.39,lever_out,lever_out,,,ID:round_LED|,2
2,tone_stop_round_start,89.94,lever_out,lever_out,,,ID:speaker|,2
2,lever_extended_food,89.95,lever_out,lever_out,,,ID:food|,2
2,,95.66,lever_out,lever_out,5.76,,n_presses:1|,2
2,presses_reached_food,95.66,lever_out,lever_out,5.76,,n_presses:1|,2
2,lever_press_food,95.66,lever_out,lever_out,,,ID:event_LED|,2
2,output_activated,95.66,lever_out,lever_out,,,ID:event_LED|,2
2,tone_start_pellet_tone,95.71,lever_out,lever_out,,,ID:speaker|,2
2,output_deactivated,96.02,lever_out,lever_out,,,ID:event_LED|,2
2,lever_retracted_food,96.26,lever_out,lever_out,,,ID:food|,2
2,tone_stop_pellet_tone,96.73,lever_out,lever_out,,,ID:speaker|,2
2,pellet_dispense_dispenser,99.59,ITI,ITI,,,ID:dispenser|,2
2,pellet_retrieved,113.0,ITI,ITI,13.41,,,2
2,pellet_retrieved,113.0,ITI,ITI,,,ID:event_LED|,2
2,output_activated,113.0,ITI,ITI,,,ID:event_LED|,2
2,output_deactivated,113.7,ITI,ITI,,,ID:event_LED|,2
3,new_round,143.7,lever_out,lever_out,,,ID:round_LED|,3
3,output_activated,143.7,lever_out,lever_out,,,ID:round_LED|,3
3,tone_start_round_start,143.71,lever_out,lever_out,,,ID:speaker|,3
3,output_deactivated,144.2,lever_out,lever_out,,,ID:round_LED|,3
3,tone_stop_round_start,144.71,lever_out,lever_out,,,ID:speaker|,3
3,lever_extended_food,144.76,lever_out,lever_out,,,ID:food|,3
3,,165.43,lever_out,lever_out,20.73,,n_presses:1|,3
3,presses_reached_food,165.44,lever_out,lever_out,20.73,,n_presses:1|,3
3,lever_press_food,165.44,lever_out,lever_out,,,ID:event_LED|,3
3,output_activated,165.44,lever_out,lever_out,,,ID:event_LED|,3
3,tone_start_pellet_tone,165.49,lever_out,lever_out,,,ID:speaker|,3
3,output_deactivated,165.79,lever_out,lever_out,,,ID:event_LED|,3
3,tone_stop_pellet_tone,166.51,lever_out,lever_out,,,ID:speaker|,3
3,lever_retracted_food,167.9,lever_out,lever_out,,,ID:food|,3
3,pellet_dispense_dispenser,172.06,ITI,ITI,,,ID:dispenser|,3
3,pellet_retrieved,186.84,ITI,ITI,14.78,,,3
3,pellet_retrieved,186.84,ITI,ITI,,,ID:event_LED|,3
3,output_activated,186.84,ITI,ITI,,,ID:event_LED|,3
3,output_deactivated,187.54,ITI,ITI,,,ID:event_LED|,3
4,new_round,213.5,lever_out,lever_out,,,ID:round_LED|,4
4,output_activated,213.5,lever_out,lever_out,,,ID:round_LED|,4
4,tone_start_round_start,213.52,lever_out,lever_out,,,ID:speaker|,4
4,output_deactivated,214.0,lever_out,lever_out,,,ID:round_LED|,4
4,tone_stop_round_start,214.53,lever_out,lever_out,,,ID:speaker|,4
