round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.0,NoPhase,NoPhase,,,ID:miniscope_trigger|,0
1,new_round,0.01,NoPhase,NoPhase,,,ID:round_LED|,1
1,output_activated,0.01,lever_out,lever_out,,,ID:round_LED|,1
1,tone_start_round_start,0.01,lever_out,lever_out,,,ID:speaker|,1
1,lever_extended_food,0.06,lever_out,lever_out,,,ID:food|,1
1,output_deactivated,0.51,lever_out,lever_out,,,ID:round_LED|,1
1,tone_stop_round_start,1.02,lever_out,lever_out,,,ID:speaker|,1
1,,10.89,lever_out,lever_out,10.88,,n_presses:1|,1
1,presses_reached_food,10.89,lever_out,lever_out,10.88,,n_presses:1|,1
1,lever_press_food,10.89,lever_out,lever_out,,,ID:event_LED|,1
1,output_activated,10.9,lever_out,lever_out,,,ID:event_LED|,1
1,tone_start_pellet_tone,10.94,lever_out,lever_out,,,ID:speaker|,1
1,output_deactivated,11.25,lever_out,lever_out,,,ID:event_LED|,1
1,tone_stop_pellet_tone,11.95,ITI,ITI,,,ID:speaker|,1
1,lever_retracted_food,12.51,lever_out,ITI,,,ID:food|,1
1,pellet_dispense_dispenser,12.78,ITI,ITI,,,ID:dispenser|,1
1,pellet_retrieved,17.24,ITI,ITI,4.47,,,1
1,pellet_retrieved,17.25,ITI,ITI,,,ID:event_LED|,1
1,output_activated,17.25,ITI,ITI,,,ID:event_LED|,1
1,output_deactivated,17.95,ITI,ITI,,,ID:event_LED|,1
2,new_round,41.92,lever_out,lever_out,,,ID:round_LED|,2
2,output_activated,41.93,lever_out,lever_out,,,ID:round_LED|,2
2,tone_start_round_start,41.96,lever_out,lever_out,,,ID:speaker|,2
2,lever_extended_food,41.98,lever_out,lever_out,,,ID:food|,2
2,output_deactivated,42.43,lever_out,lever_out,,,ID:round_LED|,2
2,tone_stop_round_start,42.96,lever_out,lever_out,,,ID:speaker|,2
2,tone_start_pellet_tone,101.94,lever_out,lever_out,,,ID:speaker|,2
2,lever_retracted_food,101.98,lever_out,lever_out,,,ID:food|,2
2,tone_stop_pellet_tone,102.96,ITI,ITI,,,ID:speaker|,2
2,pellet_dispense_dispenser,103.78,ITI,ITI,,,ID:dispenser|,2
2,pellet_retrieved,105.26,ITI,ITI,1.47,,,2
2,pellet_retrieved,105.26,ITI,ITI,,,ID:event_LED|,2
2,output_activated,105.26,ITI,ITI,,,ID:event_LED|,2
2,output_deactivated,105.96,ITI,ITI,,,ID:event_LED|,2
3,new_round,132.95,lever_out,lever_out,,,ID:round_LED|,3
3,output_activated,132.96,lever_out,lever_out,,,ID:round_LED|,3
3,tone_start_round_start,132.99,lever_out,lever_out,,,ID:speaker|,3
3,lever_extended_food,133.01,lever_out,lever_out,,,ID:food|,3
3,output_deactivated,133.46,lever_out,lever_out,,,ID:round_LED|,3
3,tone_stop_round_start,134.0,lever_out,lever_out,,,ID:speaker|,3
3,,185.81,lever_out,lever_out,52.86,,n_presses:1|,3
3,presses_reached_food,185.81,lever_out,lever_out,52.86,,n_presses:1|,3
3,lever_press_food,185.81,lever_out,lever_out,,,ID:event_LED|,3
3,output_activated,185.81,lever_out,lever_out,,,ID:event_LED|,3
3,tone_start_pellet_tone,185.83,lever_out,lever_out,,,ID:speaker|,3
3,output_deactivated,186.16,lever_out,lever_out,,,ID:event_LED|,3
3,tone_stop_pellet_tone,186.84,ITI,ITI,,,ID:speaker|,3
3,pellet_dispense_dispenser,187.67,ITI,ITI,,,ID:dispenser|,3
3,lever_retracted_food,187.87,lever_out,ITI,,,ID:food|,3
3,pellet_retrieved,194.07,ITI,ITI,6.39,,,3
3,pellet_retrieved,194.07,ITI,ITI,,,ID:event_LED|,3
3,output_activated,194.07,ITI,ITI,,,ID:event_LED|,3
3,output_deactivated,194.77,ITI,ITI,,,ID:event_LED|,3
4,new_round,216.83,lever_out,lever_out,,,ID:round_LED|,4
4,output_activated,216.84,lever_out,lever_out,,,ID:round_LED|,4
4,tone_start_round_start,216.85,lever_out,lever_out,,,ID:speaker|,4
4,lever_extended_food,216.89,lever_out,lever_out,,,ID:food|,4
4,output_deactivated,217.34,lever_out,lever_out,,,ID:round_LED|,4
4,tone_stop_round_start,217.86,lever_out,lever_out,,,ID:speaker|,4
4,,220.87,lever_out,lever_out,4.04,,n_presses:1|,4
4,presses_reached_food,220.87,lever_out,lever_out,4.04,,n_presses:1|,4
4,lever_press_food,220.87,lever_out,lever_out,,,ID:event_LED|,4
4,output_activated,220.87,lever_out,lever_out,,,ID:event_LED|,4
4,tone_start_pellet_tone,220.92,lever_out,lever_out,,,ID:speaker|,4
4,output_deactivated,221.22,lever_out,lever_out,,,ID:event_LED|,4
4,tone_stop_pellet_tone,221.93,ITI,ITI,,,ID:speaker|,4
4,lever_retracted_food,222.8,lever_out,ITI,,,ID:food|,4
4,pellet_dispense_dispenser,224.5,ITI,ITI,,,ID:dispenser|,4
4,pellet_retrieved,246.08,ITI,ITI,21.57,,,4
4,pellet_retrieved,246.08,ITI,ITI,,,ID:event_LED|,4
4,output_activated,246.08,ITI,ITI,,,ID:event_LED|,4
4,output_deactivated,246.78,ITI,ITI,,,ID:event_LED|,4
5,new_round,251.9,lever_out,lever_out,,,ID:round_LED|,5
5,output_activated,251.91,lever_out,lever_out,,,ID:round_LED|,5
5,tone_start_round_start,251.94,lever_out,lever_out,,,ID:speaker|,5
5,lever_extended_food,251.96,lever_out,lever_out,,,ID:food|,5
5,output_deactivated,252.41,lever_out,lever_out,,,ID:round_LED|,5
5,tone_stop_round_start,252.94,lever_out,lever_out,,,ID:speaker|,5
5,tone_start_pellet_tone,311.95,lever_out,lever_out,,,ID:speaker|,5
5,lever_retracted_food,311.96,lever_out,lever_out,,,ID:food|,5
5,tone_stop_pellet_tone,312.97,ITI,ITI,,,ID:speaker|,5
5,pellet_dispense_dispenser,313.98,ITI,ITI,,,ID:dispenser|,5
5,pellet_retrieved,314.43,ITI,ITI,0.45,,,5
5,pellet_retrieved,314.43,ITI,ITI,,,ID:event_LED|,5
5,output_activated,314.43,ITI,ITI,,,ID:event_LED|,5
